["Oil Markets", "\n    Global Oil Supply Edged Lower in August  - WSJ\n   Global Oil Supply Edged Lower in August  Output still higher than same month a year earlier  Rainwater from Hurricane Harvey surrounded oil refinery storage tanks in Texas City, Texas, Aug. 30. Global oil supply fell in August for the first time in four months, partly as a result of the hurricane.Photo: Luke Sharrett/Bloomberg News By \nChristopher Alessi\n LONDON\u2014Global oil supply fell in August for the first time in four months, a result of Hurricane Harvey, declining OPEC output and summer production maintenance, the International Energy Agency said Wednesday. In its closely watched monthly report, the IEA said oil supply had come down by 720,000 barrels a day last month from July, to 97.7 million barrels a day. However, that was still 1.2 million barrels a day more than during the same period a year prior. LONDON\u2014Global oil supply fell in August for the first time in four months, a result of Hurricane Harvey, declining OPEC output and summer production maintenance, the International Energy Agency said Wednesday. In its closely watched monthly report, the IEA said oil supply had come down by 720,000 barrels a day last month from July, to 97.7 million barrels a day. However, that was still 1.2 million barrels a day more than during the same period a year prior."]
["Oil Markets", "Hurricane Harvey, which made landfall in the U.S. Gulf Coast late last month before being downgraded to a tropical storm, disrupted around 200,000 barrels a day of crude oil production in August, the report said. The agency expects that figure to rise to 300,000 barrels a day in September. Supply from the Organization of the Petroleum Exporting Countries fell from a 2017 high in July, by 210,000 barrels a day, to 32.67 million barrels a day, held back by renewed civil unrest in Libya and higher compliance with the cartel\u2019s deal to cut global output. That estimate came out ahead of OPEC\u2019s own forecast, released in the cartel\u2019s monthly oil market report Tuesday.  \n OPEC and 10 producers outside the cartel, including Russia, first agreed late last year to cap production at around 1.8 million barrels a day lower than peak October 2016 levels, with the goal of reining in a global oil glut and increasing prices. The deal, extended in May through March 2018, has not had the desired effect on prices, in part due to rising U.S. shale output. Oil prices ticked up Wednesday morning, with Brent crude\u2014the global benchmark\u2014rising 0.5%, to $54.54 a barrel, and West Texas Intermediate futures up 0.6%, at $48.52 a barrel. Libya and Nigeria were two OPEC nations exempt from the deal because their industries had been crippled as a result of political instability. But a recent, expected surge in crude production in those two countries\u2014especially in Libya in July\u2014had been undermining the deal\u2019s effectiveness. While Nigerian production continued to drift upwards in August, a spate of oil field shutdowns and pipeline closures by militia groups set output back by 140,000 barrels a day in Libya, according to the IEA."]
["Oil Markets", "At the same time, the OPEC members who are signatories to the output cut deal increased their rate of compliance to 82%, compared with 75% in July, while the non-OPEC participants reached 100% compliance, the agency said. Global supply was also lower the on the back of planned summer maintenance in non-OPEC countries, reducing output by more than 500,000 barrels a day in August, month-on-month. The IEA again raised its growth forecast for global oil demand in 2017, saying it expects demand to increase by 1.6 million barrels a day, up from a July estimate of 1.5 million barrels a day. That uptick should be boosted by Europe and the U.S., even as the aftereffects of Hurricanes Harvey and Irma hold back American demand in the third quarter. Commercial oil inventories in the Organization for Economic Cooperation and Development\u2014a group of industrialized, oil-consuming nations\u2014stayed flat in July month-on-month, at 3.016 million barrels, about a 190 million barrels above OPEC\u2019s target of the last five-year average.  Write to Christopher Alessi at christopher.alessi@wsj.com  \n              {{summary.headline}}\n             THANKS FOR READING The Wall Street Journal Continue Reading Your Article With a WSJ Membership Copyright \u00a92017 Dow Jones & Company, Inc. All Rights Reserved."]
["Economic Data", "\n    Consumer Sentiment Slides at the Beginning of 2018 - WSJ\n   Consumer Sentiment Slides at the Beginning of 2018 After hitting its highest level in a decade, household confidence in economy slipped for third consecutive month  Shoppers walked through the Magnificent Mile commercial district in Chicago in December 2017.Photo: Daniel Acker/Bloomberg News By \nSharon Nunn\n U.S. households became less confident about the economic outlook at the beginning of 2018, with sentiment easing for the third consecutive month from its highest level in a decade. The University of Michigan on Friday said its consumer-sentiment index was 95.7 in January, down from 95.9 in December. It dropped in December and November after hitting the highest level since 2004 in October. Economists...\n U.S. households became less confident about the economic outlook at the beginning of 2018, with sentiment easing for the third consecutive month from its highest level in a decade. The University of Michigan on Friday said its consumer-sentiment index was 95.7 in January, down from 95.9 in December. It dropped in December and November after hitting the highest level since 2004 in October. Economists surveyed by The Wall Street Journal had expected a lower final reading of 95.0 for January, up from a preliminary reading of 94.4. Measures of how consumers feel about the economy climbed after President Donald Trump was elected, and in the last year, consumer sentiment has remained largely unchanged, but elevated. The University of Michigan\u2019s index is now 1.1 points below the 2017 average of 96.8, which was the highest yearly average in almost two decades."]
["Economic Data", "The economic euphoria has also been buoyed by strong economic growth, low unemployment, and rising wealth related to repeated stock-market highs and rising property values. Uncertainty surrounding the recently passed tax-overhaul bill pushed sentiment lower in the initial January reading, but appears to have subsided. \u201cStock-price increases and the passage of tax reforms were mentioned by all-time record numbers of consumers,\u201d said Richard Curtin,  the survey\u2019s chief economist. \u201cConsumers continued to expect growth in jobs and incomes.\u201d Now, consumers have ramped up spending and borrowing in recent months. Spending expanded at a 3.8% annual rate in the fourth quarter, and household debt has risen to $15.1 trillion in 2017\u2019s third quarter from $13.4 trillion in 2011. \u201cThe motivating force behind purchase decisions has shifted from discounts on prices and interest rates to increased confidence in future job security and growth in wages as well as financial assets,\u201d Mr. Curtin said. This booming spending, coupled with accelerating wage growth and higher inflation expectations, could cause inflation to balloon. In January, consumers anticipated a slightly higher long-term inflation rate of 2.5%, up from 2.4% in December. This change is important to Federal Reserve officials as they monitor ramped-up price increases to make decisions that control the flow of money. The Fed\u2019s monetary \u201cpolicy will need to tighten in the year ahead, but given consumers\u2019 decadelong experience with record low interest rates, only modest increases in interest rates will be sufficient to curb any excesses,\u201d Mr. Curtin said.  Write to Sharon Nunn at sharon.nunn@wsj.com "]
["Economic Data", "\n              {{summary.headline}}\n             THANKS FOR READING The Wall Street Journal Continue Reading Your Article With a WSJ Membership Copyright \u00a92017 Dow Jones & Company, Inc. All Rights Reserved."]
["Politics and Policy", "\n    Republicans Work to Make Tax Bill Meet Senate Rules - WSJ\n   Republicans Work to Make Tax Bill Meet Senate Rules Use of fast-track process bounds the GOP to meeting Byrd requirement on deficit Senate Finance Committee Chairman Orrin Hatch, center, as the tax-writing panel began work Monday on the Republican tax bill.Photo: J. Scott Applewhite/Associated Press By \nRichard Rubin\n WASHINGTON\u2014Senate Finance Committee Republicans, who began debate Monday on a major tax overhaul, must make significant revisions to their proposals in the days ahead to stay within rules preventing long-run budget deficits. As written, the Senate Republican tax bill doesn\u2019t comply with what is known as \u201cthe Byrd Rule,\u201d which prevents the Senate from passing tax and spending measures on simple majority votes if they increase budget deficits beyond 10 years. WASHINGTON\u2014Senate Finance Committee Republicans, who began debate Monday on a major tax overhaul, must make significant revisions to their proposals in the days ahead to stay within rules preventing long-run budget deficits. As written, the Senate Republican tax bill doesn\u2019t comply with what is known as \u201cthe Byrd Rule,\u201d which prevents the Senate from passing tax and spending measures on simple majority votes if they increase budget deficits beyond 10 years. \u201cIt literally cannot pass the Senate. It\u2019s against the rules unless they have 60 votes,\u201d said Marc Goldwein, senior vice president of the Committee for a Responsible Federal Budget."]
["Politics and Policy", "Republicans haven\u2019t said how they plan to change the bill to comply with the Byrd Rule. The most likely scenario is setting many of the tax cuts to expire after 2027, at the end of the decadelong budgeting period. It may take more than that. The committee debate is expected to run through the week, paving the way for full Senate consideration after Thanksgiving. The full House is expected to vote on its tax bill this week. The Senate plan cuts taxes by nearly $1.5 trillion over a decade; the rules require it avoid adding to deficits beyond that. Revenue losses are smallest in 2024, at $116.5 billion, and that number grows to $216.7 billion by 2027. That pattern suggests that the bill\u2019s effects beyond 2027 would not comply with the Byrd Rule. Senate Finance Chairman Orrin Hatch (R., Utah) included a placeholder amendment in the bill that says only that it would bring the bill \u201cinto compliance\u201d with the Byrd Rule. In his opening statement at Monday\u2019s committee session, Mr. Hatch said Republicans are \u201caware of this problem\u201d and are trying to address it.  \u201cThere\u2019s no real cause for concern at this point,\u201d he said, adding that Republicans \u201chave every intention\u201d of making the bill\u2019s business-tax cuts \u201cpermanent,\u201d which suggests that some individual breaks might be temporary. Sen. Ron Wyden of Oregon, the top Democrat on the panel, said he expected Republicans to produce a \u201ccontortion\u201d that fits the budget rules and \u201cstill keep their main objective, which is this multi-trillion-dollar break for the multinationals.\u201d"]
["Politics and Policy", "Senate Republicans are bound to the Byrd Rule because they are following a fast-track process known as reconciliation. Under reconciliation, they can pass a tax bill on simple majority votes in the House and Senate. Otherwise, they would need to attract Democratic votes that are unlikely. The fast-track reconciliation process is especially important in the Senate, where Republicans have 52 seats. But reconciliation comes with strictures, designed as a way to prevent the Senate from using the procedures repeatedly. Ordinary rules entail lengthy debate and require 60 votes to cut it off. Congress created the Byrd Rule in 1985 at the behest of the late Democratic Sen. Robert Byrd of West Virginia, and it made it part of permanent law in a 1990 budget legislation signed by President George H.W. Bush. Mr. Byrd was concerned that the fast-track procedures under reconciliation were being stretched too far.  \u201cIt\u2019s in the interest of a sufficient number of senators to keep the reconciliation process somewhat constrained,\u201d said Molly Reynolds, a Brookings Institution fellow who has written a book about limits on Senate filibusters. \u201cIf we eliminated the Byrd Rule, that would open up the reconciliation process to a much broader set of policy changes.\u201d Under the rule, reconciliation bills must be primarily fiscal, stay within a set budget and avoid deficits beyond the budget window. That is why President George W. Bush\u2019s tax cuts in 2001 and 2003 were set to expire, though most were later extended by bipartisan majorities."]
["Politics and Policy", "Republicans have been unclear about how they might change the bill. Making business tax cuts temporary would undermine their argument that tax cuts are needed to spur growth. Economists say companies are most responsive to permanent changes in the tax code rather than temporary changes. At the same time, making individual tax cuts temporary could prove politically unpopular. Simple expirations might not necessarily work, because the bill might still have effects after 2027. No single change would be enough to make the bill comply with the rule, Mr. Goldwein said. \u201cThere\u2019s no real legitimate policy around having that much of the bill expire,\u201c he said. \u201dYou would just be gambling on the assumption that some future Congress will want to continue it.\u201d That, he said, means the bill\u2019s ultimate cost would be more than advertised.  Write to Richard Rubin at richard.rubin@wsj.com  \n              {{summary.headline}}\n             THANKS FOR READING The Wall Street Journal Continue Reading Your Article With a WSJ Membership Copyright \u00a92017 Dow Jones & Company, Inc. All Rights Reserved."]
